Dates,variable,value,upper_ci,color,type,date.fmt,val.fmt,text
2020-06-02,mod_4,18361,74262,Moderate return,solid,Jun 02,"18,361","Jun 02: 18,361 projected cases per day"
2020-06-02,mod_5,52940,950570,Normal (pre-intervention),solid,Jun 02,"52,940","Jun 02: 52,940 projected cases per day"
2020-06-02,mod_6,5824,14297,Cautious return,solid,Jun 02,"5,824","Jun 02: 5,824 projected cases per day"
2020-06-03,mod_2,52166,1113655,Soc. Dist. + Travel Ban,solid,Jun 03,"52,166","Jun 03: 52,166 projected cases per day"
2020-06-03,mod_4,19151,89083,Moderate return,solid,Jun 03,"19,151","Jun 03: 19,151 projected cases per day"
2020-06-03,mod_5,53742,1047265,Normal (pre-intervention),solid,Jun 03,"53,742","Jun 03: 53,742 projected cases per day"
2020-06-03,mod_6,6151,12916,Cautious return,solid,Jun 03,"6,151","Jun 03: 6,151 projected cases per day"
2020-06-04,mod_2,52704,1011712,Soc. Dist. + Travel Ban,solid,Jun 04,"52,704","Jun 04: 52,704 projected cases per day"
2020-06-04,mod_4,19877,96895,Moderate return,solid,Jun 04,"19,877","Jun 04: 19,877 projected cases per day"
2020-06-04,mod_5,54392,1106524,Normal (pre-intervention),solid,Jun 04,"54,392","Jun 04: 54,392 projected cases per day"
2020-06-04,mod_6,6447,12105,Cautious return,solid,Jun 04,"6,447","Jun 04: 6,447 projected cases per day"
2020-06-05,mod_2,53251,1045252,Soc. Dist. + Travel Ban,solid,Jun 05,"53,251","Jun 05: 53,251 projected cases per day"
2020-06-05,mod_4,20600,104761,Moderate return,solid,Jun 05,"20,600","Jun 05: 20,600 projected cases per day"
2020-06-05,mod_5,54979,1125010,Normal (pre-intervention),solid,Jun 05,"54,979","Jun 05: 54,979 projected cases per day"
2020-06-05,mod_6,6757,17392,Cautious return,solid,Jun 05,"6,757","Jun 05: 6,757 projected cases per day"
2020-06-06,mod_2,53687,1084825,Soc. Dist. + Travel Ban,solid,Jun 06,"53,687","Jun 06: 53,687 projected cases per day"
2020-06-06,mod_4,21264,125904,Moderate return,solid,Jun 06,"21,264","Jun 06: 21,264 projected cases per day"
2020-06-06,mod_5,55364,1279677,Normal (pre-intervention),solid,Jun 06,"55,364","Jun 06: 55,364 projected cases per day"
2020-06-06,mod_6,7060,17471,Cautious return,solid,Jun 06,"7,060","Jun 06: 7,060 projected cases per day"
2020-06-07,mod_2,54081,1014623,Soc. Dist. + Travel Ban,solid,Jun 07,"54,081","Jun 07: 54,081 projected cases per day"
2020-06-07,mod_4,21870,141325,Moderate return,solid,Jun 07,"21,870","Jun 07: 21,870 projected cases per day"
2020-06-07,mod_5,55656,1368330,Normal (pre-intervention),solid,Jun 07,"55,656","Jun 07: 55,656 projected cases per day"
2020-06-07,mod_6,7345,20495,Cautious return,solid,Jun 07,"7,345","Jun 07: 7,345 projected cases per day"
2020-06-08,mod_2,54462,1026260,Soc. Dist. + Travel Ban,solid,Jun 08,"54,462","Jun 08: 54,462 projected cases per day"
2020-06-08,mod_4,22452,147909,Moderate return,solid,Jun 08,"22,452","Jun 08: 22,452 projected cases per day"
2020-06-08,mod_5,55846,1462649,Normal (pre-intervention),solid,Jun 08,"55,846","Jun 08: 55,846 projected cases per day"
2020-06-08,mod_6,7627,17374,Cautious return,solid,Jun 08,"7,627","Jun 08: 7,627 projected cases per day"
2020-06-09,mod_2,54764,954161,Soc. Dist. + Travel Ban,solid,Jun 09,"54,764","Jun 09: 54,764 projected cases per day"
2020-06-09,mod_4,22959,181236,Moderate return,solid,Jun 09,"22,959","Jun 09: 22,959 projected cases per day"
2020-06-09,mod_5,55957,1506917,Normal (pre-intervention),solid,Jun 09,"55,957","Jun 09: 55,957 projected cases per day"
2020-06-09,mod_6,7925,19031,Cautious return,solid,Jun 09,"7,925","Jun 09: 7,925 projected cases per day"
2020-06-10,mod_2,55090,983636,Soc. Dist. + Travel Ban,solid,Jun 10,"55,090","Jun 10: 55,090 projected cases per day"
2020-06-10,mod_4,23510,192224,Moderate return,solid,Jun 10,"23,510","Jun 10: 23,510 projected cases per day"
2020-06-10,mod_5,55931,1529605,Normal (pre-intervention),solid,Jun 10,"55,931","Jun 10: 55,931 projected cases per day"
2020-06-10,mod_6,8217,23618,Cautious return,solid,Jun 10,"8,217","Jun 10: 8,217 projected cases per day"
2020-06-11,mod_2,55276,984833,Soc. Dist. + Travel Ban,solid,Jun 11,"55,276","Jun 11: 55,276 projected cases per day"
2020-06-11,mod_4,23930,219433,Moderate return,solid,Jun 11,"23,930","Jun 11: 23,930 projected cases per day"
2020-06-11,mod_5,55858,1678079,Normal (pre-intervention),solid,Jun 11,"55,858","Jun 11: 55,858 projected cases per day"
2020-06-11,mod_6,8485,23451,Cautious return,solid,Jun 11,"8,485","Jun 11: 8,485 projected cases per day"
2020-06-12,mod_2,55422,928103,Soc. Dist. + Travel Ban,solid,Jun 12,"55,422","Jun 12: 55,422 projected cases per day"
2020-06-12,mod_4,24371,229882,Moderate return,solid,Jun 12,"24,371","Jun 12: 24,371 projected cases per day"
2020-06-12,mod_5,55687,1683510,Normal (pre-intervention),solid,Jun 12,"55,687","Jun 12: 55,687 projected cases per day"
2020-06-12,mod_6,8750,28562,Cautious return,solid,Jun 12,"8,750","Jun 12: 8,750 projected cases per day"
2020-06-13,mod_2,55552,843845,Soc. Dist. + Travel Ban,solid,Jun 13,"55,552","Jun 13: 55,552 projected cases per day"
2020-06-13,mod_4,24775,247614,Moderate return,solid,Jun 13,"24,775","Jun 13: 24,775 projected cases per day"
2020-06-13,mod_5,55430,1616820,Normal (pre-intervention),solid,Jun 13,"55,430","Jun 13: 55,430 projected cases per day"
2020-06-13,mod_6,9013,23359,Cautious return,solid,Jun 13,"9,013","Jun 13: 9,013 projected cases per day"
2020-06-14,mod_2,55670,754042,Soc. Dist. + Travel Ban,solid,Jun 14,"55,670","Jun 14: 55,670 projected cases per day"
2020-06-14,mod_4,25098,276155,Moderate return,solid,Jun 14,"25,098","Jun 14: 25,098 projected cases per day"
2020-06-14,mod_5,55189,1639329,Normal (pre-intervention),solid,Jun 14,"55,189","Jun 14: 55,189 projected cases per day"
2020-06-14,mod_6,9267,34064,Cautious return,solid,Jun 14,"9,267","Jun 14: 9,267 projected cases per day"
2020-06-15,mod_2,55724,820754,Soc. Dist. + Travel Ban,solid,Jun 15,"55,724","Jun 15: 55,724 projected cases per day"
2020-06-15,mod_4,25403,293760,Moderate return,solid,Jun 15,"25,403","Jun 15: 25,403 projected cases per day"
2020-06-15,mod_5,54867,1616897,Normal (pre-intervention),solid,Jun 15,"54,867","Jun 15: 54,867 projected cases per day"
2020-06-15,mod_6,9514,34344,Cautious return,solid,Jun 15,"9,514","Jun 15: 9,514 projected cases per day"
2020-06-16,mod_2,55617,690265,Soc. Dist. + Travel Ban,solid,Jun 16,"55,617","Jun 16: 55,617 projected cases per day"
2020-06-16,mod_4,25624,339483,Moderate return,solid,Jun 16,"25,624","Jun 16: 25,624 projected cases per day"
2020-06-16,mod_5,54378,1625062,Normal (pre-intervention),solid,Jun 16,"54,378","Jun 16: 54,378 projected cases per day"
2020-06-16,mod_6,9741,34788,Cautious return,solid,Jun 16,"9,741","Jun 16: 9,741 projected cases per day"
2020-06-17,mod_2,55714,702164,Soc. Dist. + Travel Ban,solid,Jun 17,"55,714","Jun 17: 55,714 projected cases per day"
2020-06-17,mod_4,25934,339576,Moderate return,solid,Jun 17,"25,934","Jun 17: 25,934 projected cases per day"
2020-06-17,mod_5,53848,1499951,Normal (pre-intervention),solid,Jun 17,"53,848","Jun 17: 53,848 projected cases per day"
2020-06-17,mod_6,9953,30840,Cautious return,solid,Jun 17,"9,953","Jun 17: 9,953 projected cases per day"
2020-06-18,mod_2,55678,660356,Soc. Dist. + Travel Ban,solid,Jun 18,"55,678","Jun 18: 55,678 projected cases per day"
2020-06-18,mod_4,26083,365759,Moderate return,solid,Jun 18,"26,083","Jun 18: 26,083 projected cases per day"
2020-06-18,mod_5,53339,1484536,Normal (pre-intervention),solid,Jun 18,"53,339","Jun 18: 53,339 projected cases per day"
2020-06-18,mod_6,10196,44375,Cautious return,solid,Jun 18,"10,196","Jun 18: 10,196 projected cases per day"
2020-06-19,mod_2,55567,642154,Soc. Dist. + Travel Ban,solid,Jun 19,"55,567","Jun 19: 55,567 projected cases per day"
2020-06-19,mod_4,26243,458185,Moderate return,solid,Jun 19,"26,243","Jun 19: 26,243 projected cases per day"
2020-06-19,mod_5,52764,1368880,Normal (pre-intervention),solid,Jun 19,"52,764","Jun 19: 52,764 projected cases per day"
2020-06-19,mod_6,10381,44948,Cautious return,solid,Jun 19,"10,381","Jun 19: 10,381 projected cases per day"
2020-06-20,mod_2,55382,603753,Soc. Dist. + Travel Ban,solid,Jun 20,"55,382","Jun 20: 55,382 projected cases per day"
2020-06-20,mod_4,26316,399629,Moderate return,solid,Jun 20,"26,316","Jun 20: 26,316 projected cases per day"
2020-06-20,mod_5,52133,1237202,Normal (pre-intervention),solid,Jun 20,"52,133","Jun 20: 52,133 projected cases per day"
2020-06-20,mod_6,10612,37294,Cautious return,solid,Jun 20,"10,612","Jun 20: 10,612 projected cases per day"
2020-06-21,mod_2,55320,519635,Soc. Dist. + Travel Ban,solid,Jun 21,"55,320","Jun 21: 55,320 projected cases per day"
2020-06-21,mod_4,26449,444554,Moderate return,solid,Jun 21,"26,449","Jun 21: 26,449 projected cases per day"
2020-06-21,mod_5,51490,1273061,Normal (pre-intervention),solid,Jun 21,"51,490","Jun 21: 51,490 projected cases per day"
2020-06-21,mod_6,10796,54445,Cautious return,solid,Jun 21,"10,796","Jun 21: 10,796 projected cases per day"
2020-06-22,mod_2,55078,510571,Soc. Dist. + Travel Ban,solid,Jun 22,"55,078","Jun 22: 55,078 projected cases per day"
2020-06-22,mod_4,26493,478097,Moderate return,solid,Jun 22,"26,493","Jun 22: 26,493 projected cases per day"
2020-06-22,mod_5,50810,1092907,Normal (pre-intervention),solid,Jun 22,"50,810","Jun 22: 50,810 projected cases per day"
2020-06-22,mod_6,10989,56720,Cautious return,solid,Jun 22,"10,989","Jun 22: 10,989 projected cases per day"
2020-06-23,mod_2,54852,493289,Soc. Dist. + Travel Ban,solid,Jun 23,"54,852","Jun 23: 54,852 projected cases per day"
2020-06-23,mod_4,26521,519509,Moderate return,solid,Jun 23,"26,521","Jun 23: 26,521 projected cases per day"
2020-06-23,mod_5,50138,1057214,Normal (pre-intervention),solid,Jun 23,"50,138","Jun 23: 50,138 projected cases per day"
2020-06-23,mod_6,11147,53304,Cautious return,solid,Jun 23,"11,147","Jun 23: 11,147 projected cases per day"
2020-06-24,mod_2,54623,431073,Soc. Dist. + Travel Ban,solid,Jun 24,"54,623","Jun 24: 54,623 projected cases per day"
2020-06-24,mod_4,26554,540235,Moderate return,solid,Jun 24,"26,554","Jun 24: 26,554 projected cases per day"
2020-06-24,mod_5,49382,884877,Normal (pre-intervention),solid,Jun 24,"49,382","Jun 24: 49,382 projected cases per day"
2020-06-24,mod_6,11312,60708,Cautious return,solid,Jun 24,"11,312","Jun 24: 11,312 projected cases per day"
