State,Date,Cases,Recovered,Deaths,Active,source
Goa,24/03/2020,0,0,0,0,covid19india
Gujarat,24/03/2020,34,0,1,33,covid19india
Haryana,24/03/2020,30,11,0,19,covid19india
Himachal Pradesh,24/03/2020,3,0,1,2,covid19india
Jammu and Kashmir,24/03/2020,6,0,0,6,covid19india
Jharkhand,24/03/2020,0,0,0,0,covid19india
Karnataka,24/03/2020,41,3,1,37,covid19india
Kerala,24/03/2020,109,4,0,105,covid19india
Ladakh,24/03/2020,13,0,0,13,covid19india
Lakshadweep,24/03/2020,0,0,0,0,covid19india
Madhya Pradesh,24/03/2020,7,0,0,7,covid19india
Maharashtra,24/03/2020,107,0,2,105,covid19india
Manipur,24/03/2020,1,0,0,1,covid19india
Meghalaya,24/03/2020,0,0,0,0,covid19india
Mizoram,24/03/2020,0,0,0,0,covid19india
Nagaland,24/03/2020,0,0,0,0,covid19india
Odisha,24/03/2020,2,0,0,2,covid19india
Pondicherry,24/03/2020,1,0,0,1,covid19india
Punjab,24/03/2020,29,0,1,28,covid19india
Rajasthan,24/03/2020,32,3,0,29,covid19india
Sikkim,24/03/2020,0,0,0,0,covid19india
Tamil Nadu,24/03/2020,18,1,1,16,covid19india
Telangana,24/03/2020,37,1,0,36,covid19india
Tripura,24/03/2020,0,0,0,0,covid19india
Uttar Pradesh,24/03/2020,35,11,0,24,covid19india
Uttarakhand,24/03/2020,4,0,0,4,covid19india
West Bengal,24/03/2020,9,0,1,8,covid19india
Andaman and Nicobar Islands,25/03/2020,0,0,0,0,covid19india
Andhra Pradesh,25/03/2020,10,1,0,9,covid19india
Arunachal Pradesh,25/03/2020,0,0,0,0,covid19india
Assam,25/03/2020,0,0,0,0,covid19india
Bihar,25/03/2020,4,0,1,3,covid19india
Chandigarh,25/03/2020,7,0,0,7,covid19india
Chhattisgarh,25/03/2020,3,0,0,3,covid19india
Dadra and Nagar Haveli and Daman and Diu,25/03/2020,0,0,0,0,covid19india
Delhi,25/03/2020,35,6,1,28,covid19india
Goa,25/03/2020,3,0,0,3,covid19india
Gujarat,25/03/2020,38,0,1,37,covid19india
Haryana,25/03/2020,31,11,0,20,covid19india
Himachal Pradesh,25/03/2020,3,0,1,2,covid19india
Jammu and Kashmir,25/03/2020,11,1,0,10,covid19india
Jharkhand,25/03/2020,0,0,0,0,covid19india
Karnataka,25/03/2020,51,3,1,47,covid19india
Kerala,25/03/2020,118,4,0,114,covid19india
Ladakh,25/03/2020,13,0,0,13,covid19india
Lakshadweep,25/03/2020,0,0,0,0,covid19india
Madhya Pradesh,25/03/2020,15,0,1,14,covid19india
Maharashtra,25/03/2020,122,1,2,119,covid19india
Manipur,25/03/2020,1,0,0,1,covid19india
Meghalaya,25/03/2020,0,0,0,0,covid19india
Mizoram,25/03/2020,1,0,0,1,covid19india
Nagaland,25/03/2020,0,0,0,0,covid19india
Odisha,25/03/2020,2,0,0,2,covid19india
Pondicherry,25/03/2020,1,0,0,1,covid19india
Punjab,25/03/2020,31,0,1,30,covid19india
Rajasthan,25/03/2020,38,3,0,35,covid19india
Sikkim,25/03/2020,0,0,0,0,covid19india
Tamil Nadu,25/03/2020,26,1,1,24,covid19india
Telangana,25/03/2020,41,1,0,40,covid19india
Tripura,25/03/2020,0,0,0,0,covid19india
Uttar Pradesh,25/03/2020,38,11,0,27,covid19india
Uttarakhand,25/03/2020,5,0,0,5,covid19india
West Bengal,25/03/2020,9,0,1,8,covid19india
Andaman and Nicobar Islands,26/03/2020,1,0,0,1,covid19india
Andhra Pradesh,26/03/2020,11,1,0,10,covid19india
Arunachal Pradesh,26/03/2020,0,0,0,0,covid19india
Assam,26/03/2020,0,0,0,0,covid19india
Bihar,26/03/2020,7,0,1,6,covid19india
Chandigarh,26/03/2020,7,0,0,7,covid19india
Chhattisgarh,26/03/2020,6,0,0,6,covid19india
Dadra and Nagar Haveli and Daman and Diu,26/03/2020,0,0,0,0,covid19india
Delhi,26/03/2020,36,6,1,29,covid19india
Goa,26/03/2020,3,0,0,3,covid19india
Gujarat,26/03/2020,43,0,3,40,covid19india
Haryana,26/03/2020,32,11,0,21,covid19india
Himachal Pradesh,26/03/2020,3,0,1,2,covid19india
Jammu and Kashmir,26/03/2020,14,1,1,12,covid19india
Jharkhand,26/03/2020,0,0,0,0,covid19india
Karnataka,26/03/2020,55,3,2,50,covid19india
Kerala,26/03/2020,137,11,0,126,covid19india
Ladakh,26/03/2020,13,0,0,13,covid19india
Lakshadweep,26/03/2020,0,0,0,0,covid19india
Madhya Pradesh,26/03/2020,20,0,1,19,covid19india
Maharashtra,26/03/2020,125,1,3,121,covid19india
Manipur,26/03/2020,1,0,0,1,covid19india
Meghalaya,26/03/2020,0,0,0,0,covid19india
Mizoram,26/03/2020,1,0,0,1,covid19india
Nagaland,26/03/2020,0,0,0,0,covid19india
Odisha,26/03/2020,3,0,0,3,covid19india
Pondicherry,26/03/2020,1,0,0,1,covid19india
Punjab,26/03/2020,33,0,1,32,covid19india
Rajasthan,26/03/2020,40,3,0,37,covid19india
Sikkim,26/03/2020,0,0,0,0,covid19india
Tamil Nadu,26/03/2020,29,1,1,27,covid19india
Telangana,26/03/2020,44,1,0,43,covid19india
Tripura,26/03/2020,0,0,0,0,covid19india
Uttar Pradesh,26/03/2020,42,11,0,31,covid19india
Uttarakhand,26/03/2020,5,0,0,5,covid19india
West Bengal,26/03/2020,10,0,1,9,covid19india
Andaman and Nicobar Islands,27/03/2020,6,0,0,6,covid19india
Andhra Pradesh,27/03/2020,13,1,0,12,covid19india
Arunachal Pradesh,27/03/2020,0,0,0,0,covid19india
Assam,27/03/2020,0,0,0,0,covid19india
Bihar,27/03/2020,9,0,1,8,covid19india
Chandigarh,27/03/2020,8,0,0,8,covid19india
Chhattisgarh,27/03/2020,6,0,0,6,covid19india
Dadra and Nagar Haveli and Daman and Diu,27/03/2020,0,0,0,0,covid19india
Delhi,27/03/2020,40,6,1,33,covid19india
Goa,27/03/2020,3,0,0,3,covid19india
Gujarat,27/03/2020,47,0,3,44,covid19india
Haryana,27/03/2020,33,11,0,22,covid19india
Himachal Pradesh,27/03/2020,3,1,1,1,covid19india
Jammu and Kashmir,27/03/2020,20,1,1,18,covid19india
Jharkhand,27/03/2020,0,0,0,0,covid19india
Karnataka,27/03/2020,64,5,3,56,covid19india
Kerala,27/03/2020,176,11,0,165,covid19india
Ladakh,27/03/2020,13,3,0,10,covid19india
Lakshadweep,27/03/2020,0,0,0,0,covid19india
Madhya Pradesh,27/03/2020,29,0,2,27,covid19india
Maharashtra,27/03/2020,156,19,4,133,covid19india
Manipur,27/03/2020,1,0,0,1,covid19india
Meghalaya,27/03/2020,0,0,0,0,covid19india
Mizoram,27/03/2020,1,0,0,1,covid19india
Nagaland,27/03/2020,0,0,0,0,covid19india
Odisha,27/03/2020,3,0,0,3,covid19india
Pondicherry,27/03/2020,1,0,0,1,covid19india
Punjab,27/03/2020,38,1,1,36,covid19india
Rajasthan,27/03/2020,50,3,0,47,covid19india
Sikkim,27/03/2020,0,0,0,0,covid19india
Tamil Nadu,27/03/2020,38,2,1,35,covid19india
Telangana,27/03/2020,59,1,0,58,covid19india
Tripura,27/03/2020,0,0,0,0,covid19india
Uttar Pradesh,27/03/2020,49,11,0,38,covid19india
Uttarakhand,27/03/2020,5,0,0,5,covid19india
West Bengal,27/03/2020,15,0,1,14,covid19india
Andaman and Nicobar Islands,28/03/2020,9,0,0,9,covid19india
