place,date,daily_cases,daily_recovered,daily_deaths,total_cases,total_recovered,total_deaths
India,2021-05-27,186075,271002,3659,27559678,24893187,318834
India,2021-05-28,174083,285332,3611,27733761,25178519,322445
India,2021-05-29,165282,264483,3463,27899043,25443002,325908
India,2021-05-30,153396,237664,3130,28052439,25680666,329038
India,2021-05-31,126883,255125,2783,28179322,25935791,331821
India,2021-06-01,133152,231397,3205,28312474,26167188,335026
India,2021-06-02,134044,211890,2898,28446518,26379078,337924
India,2021-06-03,132424,206722,2717,28578942,26585800,340641
India,2021-06-04,120454,197763,3372,28699396,26783563,344013
India,2021-06-05,114488,189374,2682,28813884,26972937,346695
India,2021-06-06,101209,174156,2444,28915093,27147093,349139
India,2021-06-07,85804,182866,2107,29000897,27329959,351246
India,2021-06-08,92787,162356,2222,29093684,27492315,353468
India,2021-06-09,93883,149022,6139,29187567,27641337,359607
India,2021-06-10,91849,135329,3414,29279416,27776666,363021
India,2021-06-11,84574,122685,3996,29363990,27899351,367017
India,2021-06-12,80525,132664,3300,29444515,28032015,370317
India,2021-06-13,71001,119574,3922,29515516,28151589,374239
India,2021-06-14,60008,117376,2733,29575524,28268965,376972
India,2021-06-15,62215,107776,2540,29637739,28376741,379512
India,2021-06-16,67289,103900,2329,29705028,28480641,381841
India,2021-06-17,62436,88500,1591,29767464,28569141,383432
India,2021-06-18,60765,97854,1645,29828229,28666995,385077
India,2021-06-19,58615,87608,1574,29886844,28754603,386651
India,2021-06-20,52978,78189,1424,29939822,28832792,388075
India,2021-06-21,42683,82031,1167,29982505,28914823,389242
India,2021-06-22,50817,68697,1359,30033322,28983520,390601
India,2021-06-23,54309,69187,1323,30087631,29052707,391924
India,2021-06-24,51659,64369,1328,30139290,29117076,393252
India,2021-06-25,48768,64819,1183,30188058,29181895,394435
India,2021-06-26,49844,57866,1258,30237902,29239761,395693
India,2021-06-27,46523,58563,978,30284425,29298324,396671
India,2021-06-28,37070,57016,907,30321495,29355340,397578
India,2021-06-29,46104,60789,819,30367599,29416129,398397
India,2021-06-30,48606,61813,1002,30416205,29477942,399399
India,2021-07-01,46781,59054,857,30462986,29536996,400256
India,2021-07-02,44187,57497,737,30507173,29594493,400993
India,2021-07-03,43027,52270,950,30550200,29646763,401943
India,2021-07-04,40150,42342,725,30590350,29689105,402668
India,2021-07-05,34026,51933,552,30624376,29741038,403220
India,2021-07-06,43964,47054,930,30668340,29788092,404150
India,2021-07-07,45701,44529,819,30714041,29832621,404969
India,2021-07-08,43504,44204,908,30757545,29876825,405877
India,2021-07-09,42660,45291,1207,30800205,29922116,407084
India,2021-07-10,41494,41511,898,30841699,29963627,407982
India,2021-07-11,37654,39688,720,30879353,30003315,408702
India,2021-07-12,30818,47544,2024,30910171,30050859,410726
India,2021-07-13,40314,42436,625,30950485,30093295,411351
India,2021-07-14,41759,39293,578,30992244,30132588,411929
India,2021-07-15,39071,39827,544,31031315,30172415,412473
India,2021-07-16,38117,43878,560,31069432,30216293,413033
India,2021-07-17,41283,42051,517,31110715,30258344,413550
India,2021-07-18,38330,38545,501,31149045,30296889,414051
India,2021-07-19,29420,45356,372,31178465,30342245,414423
India,2021-07-20,42128,36876,3998,31220593,30379121,418421
India,2021-07-21,41687,38891,510,31262280,30418012,418931
India,2021-07-22,34863,38403,481,31297143,30456415,419412
India,2021-07-23,39501,35144,542,31336644,30491559,419954
India,2021-07-24,40286,40038,541,31376930,30531597,420495
India,2021-07-25,38179,35945,411,31415109,30567542,420906
India,2021-07-26,30820,42503,418,31445929,30610045,421324
India,2021-07-27,42971,41653,641,31488900,30651698,421965
India,2021-07-28,43165,38537,640,31532065,30690235,422605
India,2021-07-29,44671,42115,549,31576736,30732350,423154
India,2021-07-30,41499,37320,598,31618235,30769670,423752
India,2021-07-31,41943,39485,542,31660178,30809155,424294
