Dates,variable,value,color
2020-05-07,mod_2_up,2109065,green
2020-05-07,mod_4,8721,blue
2020-05-07,mod_4_up,56421,blue
2020-05-08,mod_3,1351896,red
2020-05-08,mod_3_up,18799815,red
2020-05-08,mod_2,285263,green
2020-05-08,mod_2_up,2479053,green
2020-05-08,mod_4,9942,blue
2020-05-08,mod_4_up,60743,blue
2020-05-09,mod_3,1448908,red
2020-05-09,mod_3_up,19869824,red
2020-05-09,mod_2,313840,green
2020-05-09,mod_2_up,2883934,green
2020-05-09,mod_4,11449,blue
2020-05-09,mod_4_up,66372,blue
2020-05-10,mod_3,1547091,red
2020-05-10,mod_3_up,20865263,red
2020-05-10,mod_2,343749,green
2020-05-10,mod_2_up,3331148,green
2020-05-10,mod_4,13315,blue
2020-05-10,mod_4_up,72010,blue
2020-05-11,mod_3,1646182,red
2020-05-11,mod_3_up,21798199,red
2020-05-11,mod_2,374911,green
2020-05-11,mod_2_up,3822209,green
2020-05-11,mod_4,15623,blue
2020-05-11,mod_4_up,79313,blue
2020-05-12,mod_3,1745937,red
2020-05-12,mod_3_up,22629338,red
2020-05-12,mod_2,407261,green
2020-05-12,mod_2_up,4337605,green
2020-05-12,mod_4,18462,blue
2020-05-12,mod_4_up,87659,blue
2020-05-13,mod_3,1846102,red
2020-05-13,mod_3_up,23292576,red
2020-05-13,mod_2,440754,green
2020-05-13,mod_2_up,4909453,green
2020-05-13,mod_4,21942,blue
2020-05-13,mod_4_up,98332,blue
2020-05-14,mod_3,1946519,red
2020-05-14,mod_3_up,23916007,red
2020-05-14,mod_2,475301,green
2020-05-14,mod_2_up,5535569,green
2020-05-14,mod_4,26066,blue
2020-05-14,mod_4_up,110564,blue
2020-05-15,mod_3,2046959,red
2020-05-15,mod_3_up,24480959,red
2020-05-15,mod_2,510809,green
2020-05-15,mod_2_up,6182225,green
2020-05-15,mod_4,30898,blue
2020-05-15,mod_4_up,124117,blue
2020-05-16,mod_3,2147267,red
2020-05-16,mod_3_up,25000623,red
2020-05-16,mod_2,547204,green
2020-05-16,mod_2_up,6876836,green
2020-05-16,mod_4,36479,blue
2020-05-16,mod_4_up,141046,blue
2020-05-17,mod_3,2247330,red
2020-05-17,mod_3_up,25450361,red
2020-05-17,mod_2,584427,green
2020-05-17,mod_2_up,7599110,green
2020-05-17,mod_4,42834,blue
2020-05-17,mod_4_up,162013,blue
2020-05-18,mod_3,2347012,red
2020-05-18,mod_3_up,25820631,red
2020-05-18,mod_2,622386,green
2020-05-18,mod_2_up,8351862,green
2020-05-18,mod_4,50016,blue
2020-05-18,mod_4_up,183612,blue
2020-05-19,mod_3,2446186,red
2020-05-19,mod_3_up,26155065,red
2020-05-19,mod_2,660989,green
2020-05-19,mod_2_up,9090103,green
2020-05-19,mod_4,58038,blue
2020-05-19,mod_4_up,210813,blue
2020-05-20,mod_3,2544708,red
