Dates,variable,value,color,type
2020-07-10,mod_5,2537149,Normal (pre-intervention),solid
2020-07-10,mod_6,642559,Cautious return,solid
2020-07-11,mod_2,2549321,Soc. Dist. + Travel Ban,solid
2020-07-11,mod_4,1364051,Moderate return,solid
2020-07-11,mod_5,2569271,Normal (pre-intervention),solid
2020-07-11,mod_6,658034,Cautious return,solid
2020-07-12,mod_2,2577573,Soc. Dist. + Travel Ban,solid
2020-07-12,mod_4,1389693,Moderate return,solid
2020-07-12,mod_5,2600602,Normal (pre-intervention),solid
2020-07-12,mod_6,673492,Cautious return,solid
2020-07-13,mod_2,2605501,Soc. Dist. + Travel Ban,solid
2020-07-13,mod_4,1415046,Moderate return,solid
2020-07-13,mod_5,2631182,Normal (pre-intervention),solid
2020-07-13,mod_6,688891,Cautious return,solid
2020-07-14,mod_2,2633001,Soc. Dist. + Travel Ban,solid
2020-07-14,mod_4,1440044,Moderate return,solid
2020-07-14,mod_5,2661005,Normal (pre-intervention),solid
2020-07-14,mod_6,704213,Cautious return,solid
2020-07-15,mod_2,2660086,Soc. Dist. + Travel Ban,solid
2020-07-15,mod_4,1464715,Moderate return,solid
2020-07-15,mod_5,2690124,Normal (pre-intervention),solid
2020-07-15,mod_6,719502,Cautious return,solid
2020-07-16,mod_2,2686797,Soc. Dist. + Travel Ban,solid
2020-07-16,mod_4,1489019,Moderate return,solid
2020-07-16,mod_5,2718499,Normal (pre-intervention),solid
2020-07-16,mod_6,734709,Cautious return,solid
2020-07-17,mod_2,2713110,Soc. Dist. + Travel Ban,solid
2020-07-17,mod_4,1513001,Moderate return,solid
2020-07-17,mod_5,2746219,Normal (pre-intervention),solid
2020-07-17,mod_6,749887,Cautious return,solid
2020-07-18,mod_2,2739026,Soc. Dist. + Travel Ban,solid
2020-07-18,mod_4,1536618,Moderate return,solid
2020-07-18,mod_5,2773188,Normal (pre-intervention),solid
2020-07-18,mod_6,764957,Cautious return,solid
2020-07-19,mod_2,2764678,Soc. Dist. + Travel Ban,solid
2020-07-19,mod_4,1559906,Moderate return,solid
2020-07-19,mod_5,2799535,Normal (pre-intervention),solid
2020-07-19,mod_6,779940,Cautious return,solid
2020-07-20,mod_2,2789933,Soc. Dist. + Travel Ban,solid
2020-07-20,mod_4,1582846,Moderate return,solid
2020-07-20,mod_5,2825211,Normal (pre-intervention),solid
2020-07-20,mod_6,794850,Cautious return,solid
2020-07-21,mod_2,2814785,Soc. Dist. + Travel Ban,solid
2020-07-21,mod_4,1605435,Moderate return,solid
2020-07-21,mod_5,2850195,Normal (pre-intervention),solid
2020-07-21,mod_6,809663,Cautious return,solid
2020-07-22,mod_2,2839334,Soc. Dist. + Travel Ban,solid
2020-07-22,mod_4,1627682,Moderate return,solid
2020-07-22,mod_5,2874571,Normal (pre-intervention),solid
2020-07-22,mod_6,824363,Cautious return,solid
2020-07-23,mod_2,2863504,Soc. Dist. + Travel Ban,solid
2020-07-23,mod_4,1649598,Moderate return,solid
2020-07-23,mod_5,2898335,Normal (pre-intervention),solid
2020-07-23,mod_6,838996,Cautious return,solid
2020-07-24,mod_2,2887309,Soc. Dist. + Travel Ban,solid
2020-07-24,mod_4,1671196,Moderate return,solid
2020-07-24,mod_5,2921513,Normal (pre-intervention),solid
2020-07-24,mod_6,853513,Cautious return,solid
2020-07-25,mod_2,2910757,Soc. Dist. + Travel Ban,solid
2020-07-25,mod_4,1692468,Moderate return,solid
2020-07-25,mod_5,2944121,Normal (pre-intervention),solid
2020-07-25,mod_6,867912,Cautious return,solid
2020-07-26,mod_2,2933863,Soc. Dist. + Travel Ban,solid
2020-07-26,mod_4,1713391,Moderate return,solid
2020-07-26,mod_5,2966150,Normal (pre-intervention),solid
2020-07-26,mod_6,882239,Cautious return,solid
2020-07-27,mod_2,2956634,Soc. Dist. + Travel Ban,solid
2020-07-27,mod_4,1733935,Moderate return,solid
2020-07-27,mod_5,2987606,Normal (pre-intervention),solid
2020-07-27,mod_6,896457,Cautious return,solid
2020-07-28,mod_2,2979033,Soc. Dist. + Travel Ban,solid
2020-07-28,mod_4,1754234,Moderate return,solid
2020-07-28,mod_5,3008531,Normal (pre-intervention),solid
2020-07-28,mod_6,910546,Cautious return,solid
2020-07-29,mod_2,3001133,Soc. Dist. + Travel Ban,solid
2020-07-29,mod_4,1774147,Moderate return,solid
2020-07-29,mod_5,3028888,Normal (pre-intervention),solid
2020-07-29,mod_6,924531,Cautious return,solid
2020-07-30,mod_2,3022882,Soc. Dist. + Travel Ban,solid
2020-07-30,mod_4,1793736,Moderate return,solid
2020-07-30,mod_5,3048774,Normal (pre-intervention),solid
2020-07-30,mod_6,938390,Cautious return,solid
2020-07-31,mod_2,3044296,Soc. Dist. + Travel Ban,solid
2020-07-31,mod_4,1812995,Moderate return,solid
2020-07-31,mod_5,3068143,Normal (pre-intervention),solid
2020-07-31,mod_6,952131,Cautious return,solid
2020-08-01,mod_2,3065422,Soc. Dist. + Travel Ban,solid
2020-08-01,mod_4,1831937,Moderate return,solid
2020-08-01,mod_5,3087057,Normal (pre-intervention),solid
2020-08-01,mod_6,965721,Cautious return,solid
2020-08-02,mod_2,3086234,Soc. Dist. + Travel Ban,solid
2020-08-02,mod_4,1850572,Moderate return,solid
2020-08-02,mod_5,3105456,Normal (pre-intervention),solid
2020-08-02,mod_6,979215,Cautious return,solid
2020-08-03,mod_2,3106718,Soc. Dist. + Travel Ban,solid
2020-08-03,mod_4,1868890,Moderate return,solid
2020-08-03,mod_5,3123434,Normal (pre-intervention),solid
2020-08-03,mod_6,992584,Cautious return,solid
2020-08-04,mod_2,3126917,Soc. Dist. + Travel Ban,solid
2020-08-04,mod_4,1886904,Moderate return,solid
2020-08-04,mod_5,3140982,Normal (pre-intervention),solid
2020-08-04,mod_6,1005796,Cautious return,solid
2020-08-05,mod_2,3146744,Soc. Dist. + Travel Ban,solid
2020-08-05,mod_4,1904602,Moderate return,solid
2020-08-05,mod_5,3158077,Normal (pre-intervention),solid
2020-08-05,mod_6,1018877,Cautious return,solid
2020-08-06,mod_2,3166341,Soc. Dist. + Travel Ban,solid
2020-08-06,mod_4,1921990,Moderate return,solid
2020-08-06,mod_5,3174782,Normal (pre-intervention),solid
2020-08-06,mod_6,1031824,Cautious return,solid
2020-08-07,mod_2,3185592,Soc. Dist. + Travel Ban,solid
2020-08-07,mod_4,1939154,Moderate return,solid
2020-08-07,mod_5,3191075,Normal (pre-intervention),solid
2020-08-07,mod_6,1044603,Cautious return,solid
2020-08-08,mod_2,3204588,Soc. Dist. + Travel Ban,solid
