Dates	variable	value	upper_ci	color	type	State
2020-07-05	mod_4	20244	140240	Moderate return	solid	ap
2020-07-05	mod_5	220155	2076551	Normal (pre-intervention)	solid	ap
2020-07-05	mod_6	5427	38195	Cautious return	solid	ap
2020-07-06	mod_2	32378	222552	Soc. Dist. + Travel Ban	solid	ap
2020-07-06	mod_3	411990	4624973	No Intervention	solid	ap
2020-07-06	mod_4	22081	152453	Moderate return	solid	ap
2020-07-06	mod_5	244296	2391014	Normal (pre-intervention)	solid	ap
2020-07-06	mod_6	5647	39665	Cautious return	solid	ap
2020-07-07	mod_2	35292	241459	Soc. Dist. + Travel Ban	solid	ap
2020-07-07	mod_3	449961	5148494	No Intervention	solid	ap
2020-07-07	mod_4	24089	165210	Moderate return	solid	ap
2020-07-07	mod_5	270065	2736250	Normal (pre-intervention)	solid	ap
2020-07-07	mod_6	5883	41066	Cautious return	solid	ap
2020-07-08	mod_2	38446	262801	Soc. Dist. + Travel Ban	solid	ap
2020-07-08	mod_3	489801	5701624	No Intervention	solid	ap
2020-07-08	mod_4	26272	179539	Moderate return	solid	ap
2020-07-08	mod_5	297442	3118792	Normal (pre-intervention)	solid	ap
2020-07-08	mod_6	6131	43089	Cautious return	solid	ap
2020-07-09	mod_2	41855	287097	Soc. Dist. + Travel Ban	solid	ap
2020-07-09	mod_3	531451	6265539	No Intervention	solid	ap
2020-07-09	mod_4	28633	194671	Moderate return	solid	ap
2020-07-09	mod_5	326392	3546403	Normal (pre-intervention)	solid	ap
2020-07-09	mod_6	6393	44673	Cautious return	solid	ap
2020-07-10	mod_2	45532	312647	Soc. Dist. + Travel Ban	solid	ap
2020-07-10	mod_3	574843	6849974	No Intervention	solid	ap
2020-07-10	mod_4	31196	210614	Moderate return	solid	ap
2020-07-10	mod_5	356909	3997727	Normal (pre-intervention)	solid	ap
2020-07-10	mod_6	6676	46499	Cautious return	solid	ap
2020-07-11	mod_2	49489	341273	Soc. Dist. + Travel Ban	solid	ap
2020-07-11	mod_3	619890	7461527	No Intervention	solid	ap
2020-07-11	mod_4	33967	229444	Moderate return	solid	ap
2020-07-11	mod_5	388943	4490427	Normal (pre-intervention)	solid	ap
2020-07-11	mod_6	6974	48299	Cautious return	solid	ap
2020-07-12	mod_2	53727	372257	Soc. Dist. + Travel Ban	solid	ap
2020-07-12	mod_3	666583	8062281	No Intervention	solid	ap
2020-07-12	mod_4	36954	247664	Moderate return	solid	ap
2020-07-12	mod_5	422497	4986616	Normal (pre-intervention)	solid	ap
2020-07-12	mod_6	7296	50352	Cautious return	solid	ap
2020-07-13	mod_2	58251	406789	Soc. Dist. + Travel Ban	solid	ap
2020-07-13	mod_3	714807	8685760	No Intervention	solid	ap
2020-07-13	mod_4	40167	269877	Moderate return	solid	ap
2020-07-13	mod_5	457512	5507632	Normal (pre-intervention)	solid	ap
2020-07-13	mod_6	7636	52368	Cautious return	solid	ap
2020-07-14	mod_2	63092	443368	Soc. Dist. + Travel Ban	solid	ap
2020-07-14	mod_3	764467	9301736	No Intervention	solid	ap
2020-07-14	mod_4	43617	293785	Moderate return	solid	ap
2020-07-14	mod_5	493935	6033854	Normal (pre-intervention)	solid	ap
2020-07-14	mod_6	8002	54770	Cautious return	solid	ap
2020-07-15	mod_2	68252	481320	Soc. Dist. + Travel Ban	solid	ap
2020-07-15	mod_3	815536	9928609	No Intervention	solid	ap
2020-07-15	mod_4	47326	317998	Moderate return	solid	ap
2020-07-15	mod_5	531707	6616721	Normal (pre-intervention)	solid	ap
2020-07-15	mod_6	8385	56706	Cautious return	solid	ap
2020-07-16	mod_2	73734	523910	Soc. Dist. + Travel Ban	solid	ap
2020-07-16	mod_3	867858	10561343	No Intervention	solid	ap
2020-07-16	mod_4	51281	344404	Moderate return	solid	ap
2020-07-16	mod_5	570803	7175174	Normal (pre-intervention)	solid	ap
2020-07-16	mod_6	8799	59034	Cautious return	solid	ap
2020-07-17	mod_2	79541	571129	Soc. Dist. + Travel Ban	solid	ap
2020-07-17	mod_3	921427	11179100	No Intervention	solid	ap
2020-07-17	mod_4	55507	374617	Moderate return	solid	ap
2020-07-17	mod_5	611118	7749154	Normal (pre-intervention)	solid	ap
2020-07-17	mod_6	9236	61392	Cautious return	solid	ap
2020-07-18	mod_2	85688	620135	Soc. Dist. + Travel Ban	solid	ap
2020-07-18	mod_3	976120	11801750	No Intervention	solid	ap
2020-07-18	mod_4	60008	405998	Moderate return	solid	ap
2020-07-18	mod_5	652639	8364459	Normal (pre-intervention)	solid	ap
2020-07-18	mod_6	9700	63848	Cautious return	solid	ap
2020-07-19	mod_2	92173	674047	Soc. Dist. + Travel Ban	solid	ap
2020-07-19	mod_3	1031843	12406494	No Intervention	solid	ap
2020-07-19	mod_4	64788	441523	Moderate return	solid	ap
2020-07-19	mod_5	695275	8964956	Normal (pre-intervention)	solid	ap
2020-07-19	mod_6	10195	66732	Cautious return	solid	ap
2020-07-20	mod_2	98997	734365	Soc. Dist. + Travel Ban	solid	ap
2020-07-20	mod_3	1088575	12997128	No Intervention	solid	ap
2020-07-20	mod_4	69842	479331	Moderate return	solid	ap
2020-07-20	mod_5	738968	9556185	Normal (pre-intervention)	solid	ap
2020-07-20	mod_6	10719	69192	Cautious return	solid	ap
2020-07-21	mod_2	106186	798464	Soc. Dist. + Travel Ban	solid	ap
