state,place,date,confirmed,tested,daily_confirmed,daily_tested,tpr,text
Himachal Pradesh,hp,2020-04-13,32,1210,0,97,0,Date: Apr 13<br>TPR:    0.00%
Haryana,hr,2020-04-13,196,4489,1,586,0.00170648464163823,Date: Apr 13<br>TPR:    0.17%
Jharkhand,jh,2020-04-13,24,1982,5,299,0.0167224080267559,Date: Apr 13<br>TPR:    1.67%
Jammu and Kashmir,jk,2020-04-13,270,4065,25,465,0.0537634408602151,Date: Apr 13<br>TPR:    5.38%
Karnataka,ka,2020-04-13,247,10017,15,766,0.0195822454308094,Date: Apr 13<br>TPR:    1.96%
Kerala,kl,2020-04-13,379,15683,3,694,0.00432276657060519,Date: Apr 13<br>TPR:    0.43%
Maharashtra,mh,2020-04-13,2334,39725,352,4057,0.0867636184372689,Date: Apr 13<br>TPR:    8.68%
Mizoram,mz,2020-04-13,1,89,0,2,0,Date: Apr 13<br>TPR:    0.00%
Odisha,or,2020-04-13,55,4170,1,308,0.00324675324675325,Date: Apr 13<br>TPR:    0.32%
Punjab,pb,2020-04-13,176,4480,6,199,0.0301507537688442,Date: Apr 13<br>TPR:    3.02%
Rajasthan,rj,2020-04-13,897,31804,93,3299,0.0281903607153683,Date: Apr 13<br>TPR:    2.82%
Tamil Nadu,tn,2020-04-13,1173,12746,98,2091,0.0468675274988044,Date: Apr 13<br>TPR:    4.69%
India,tt,2020-04-13,10454,217554,1243,21806,0.0570026598183986,Date: Apr 13<br>TPR:    5.70%
Uttar Pradesh,up,2020-04-13,558,13287,75,1432,0.0523743016759777,Date: Apr 13<br>TPR:    5.24%
Uttarakhand,ut,2020-04-13,35,1998,0,178,0,Date: Apr 13<br>TPR:    0.00%
West Bengal,wb,2020-04-13,152,2793,18,270,0.0666666666666667,Date: Apr 13<br>TPR:    6.67%
Andhra Pradesh,ap,2020-04-14,484,10505,45,1750,0.0257142857142857,Date: Apr 14<br>TPR:    2.57%
Arunachal Pradesh,ar,2020-04-14,1,280,0,74,0,Date: Apr 14<br>TPR:    0.00%
Assam,as,2020-04-14,33,3491,1,353,0.0028328611898017,Date: Apr 14<br>TPR:    0.28%
Bihar,br,2020-04-14,66,7727,0,464,0,Date: Apr 14<br>TPR:    0.00%
Chandigarh,ch,2020-04-14,21,309,0,13,0,Date: Apr 14<br>TPR:    0.00%
Chhattisgarh,ct,2020-04-14,33,4812,2,435,0.00459770114942529,Date: Apr 14<br>TPR:    0.46%
Delhi,dl,2020-04-14,1561,16282,51,1250,0.0408,Date: Apr 14<br>TPR:    4.08%
Goa,ga,2020-04-14,7,479,0,39,0,Date: Apr 14<br>TPR:    0.00%
Gujarat,gj,2020-04-14,650,14980,78,729,0.106995884773663,Date: Apr 14<br>TPR:   10.70%
Himachal Pradesh,hp,2020-04-14,33,1311,1,101,0.0099009900990099,Date: Apr 14<br>TPR:    0.99%
Haryana,hr,2020-04-14,198,5210,2,721,0.00277392510402219,Date: Apr 14<br>TPR:    0.28%
Jharkhand,jh,2020-04-14,27,2334,3,352,0.00852272727272727,Date: Apr 14<br>TPR:    0.85%
Jammu and Kashmir,jk,2020-04-14,278,4619,8,554,0.0144404332129964,Date: Apr 14<br>TPR:    1.44%
Karnataka,ka,2020-04-14,260,11107,13,1090,0.0119266055045872,Date: Apr 14<br>TPR:    1.19%
Kerala,kl,2020-04-14,387,16235,8,552,0.0144927536231884,Date: Apr 14<br>TPR:    1.45%
Ladakh,la,2020-04-14,17,760,0,142,0,Date: Apr 14<br>TPR:    0.00%
Maharashtra,mh,2020-04-14,2680,41071,346,1346,0.257057949479941,Date: Apr 14<br>TPR:   25.71%
Madhya Pradesh,mp,2020-04-14,741,8105,127,-2376,-0.0534511784511785,Date: Apr 14<br>TPR:   -5.35%
Mizoram,mz,2020-04-14,1,91,0,2,0,Date: Apr 14<br>TPR:    0.00%
Odisha,or,2020-04-14,60,4734,5,564,0.00886524822695036,Date: Apr 14<br>TPR:    0.89%
Punjab,pb,2020-04-14,184,4844,8,364,0.021978021978022,Date: Apr 14<br>TPR:    2.20%
Rajasthan,rj,2020-04-14,1005,34928,108,3124,0.0345710627400768,Date: Apr 14<br>TPR:    3.46%
Tamil Nadu,tn,2020-04-14,1204,19255,31,6509,0.00476263634966969,Date: Apr 14<br>TPR:    0.48%
India,tt,2020-04-14,11485,244893,1031,27339,0.0377116939171147,Date: Apr 14<br>TPR:    3.77%
Uttar Pradesh,up,2020-04-14,660,15914,102,2627,0.0388275599543205,Date: Apr 14<br>TPR:    3.88%
Uttarakhand,ut,2020-04-14,37,2174,2,176,0.0113636363636364,Date: Apr 14<br>TPR:    1.14%
West Bengal,wb,2020-04-14,190,3081,38,288,0.131944444444444,Date: Apr 14<br>TPR:   13.19%
Andhra Pradesh,ap,2020-04-15,525,11613,41,1108,0.0370036101083032,Date: Apr 15<br>TPR:    3.70%
Assam,as,2020-04-15,33,3613,0,122,0,Date: Apr 15<br>TPR:    0.00%
Bihar,br,2020-04-15,72,8263,6,536,0.0111940298507463,Date: Apr 15<br>TPR:    1.12%
Chandigarh,ch,2020-04-15,21,317,0,8,0,Date: Apr 15<br>TPR:    0.00%
Chhattisgarh,ct,2020-04-15,33,5122,0,310,0,Date: Apr 15<br>TPR:    0.00%
Delhi,dl,2020-04-15,1578,16605,17,323,0.0526315789473684,Date: Apr 15<br>TPR:    5.26%
Goa,ga,2020-04-15,7,556,0,77,0,Date: Apr 15<br>TPR:    0.00%
Gujarat,gj,2020-04-15,766,19197,116,4217,0.0275077069006403,Date: Apr 15<br>TPR:    2.75%
Himachal Pradesh,hp,2020-04-15,35,1426,2,115,0.0173913043478261,Date: Apr 15<br>TPR:    1.74%
Haryana,hr,2020-04-15,204,7388,6,2178,0.00275482093663912,Date: Apr 15<br>TPR:    0.28%
Jammu and Kashmir,jk,2020-04-15,300,5171,22,552,0.0398550724637681,Date: Apr 15<br>TPR:    3.99%
Karnataka,ka,2020-04-15,279,12483,19,1376,0.0138081395348837,Date: Apr 15<br>TPR:    1.38%
Kerala,kl,2020-04-15,388,16475,1,240,0.00416666666666667,Date: Apr 15<br>TPR:    0.42%
Ladakh,la,2020-04-15,18,820,1,60,0.0166666666666667,Date: Apr 15<br>TPR:    1.67%
Maharashtra,mh,2020-04-15,2916,45142,236,4071,0.0579710144927536,Date: Apr 15<br>TPR:    5.80%
Madhya Pradesh,mp,2020-04-15,938,9596,197,1491,0.132126089872569,Date: Apr 15<br>TPR:   13.21%
Mizoram,mz,2020-04-15,1,94,0,3,0,Date: Apr 15<br>TPR:    0.00%
Odisha,or,2020-04-15,60,5537,0,803,0,Date: Apr 15<br>TPR:    0.00%
