Dates	variable	value	color
2020-06-30	mod_4	921314	blue
2020-06-30	mod_4_up	14343379	blue
2020-07-01	mod_3	3873245	red
2020-07-01	mod_2	1726090	green
2020-07-01	mod_4	943159	blue
2020-07-01	mod_4_up	14511933	blue
2020-07-02	mod_3	3900720	red
2020-07-02	mod_2	1747383	green
2020-07-02	mod_4	964819	blue
2020-07-02	mod_4_up	14681474	blue
2020-07-03	mod_3	3927627	red
2020-07-03	mod_2	1768379	green
2020-07-03	mod_4	986238	blue
2020-07-03	mod_4_up	14834093	blue
2020-07-04	mod_3	3953972	red
2020-07-04	mod_2	1789089	green
2020-07-04	mod_4	1007439	blue
2020-07-04	mod_4_up	14971200	blue
2020-07-05	mod_3	3979724	red
2020-07-05	mod_2	1809477	green
2020-07-05	mod_4	1028395	blue
2020-07-05	mod_4_up	15102487	blue
2020-07-06	mod_3	4004971	red
2020-07-06	mod_2	1829577	green
2020-07-06	mod_4	1049109	blue
2020-07-06	mod_4_up	15217041	blue
2020-07-07	mod_3	4029640	red
2020-07-07	mod_2	1849390	green
2020-07-07	mod_4	1069598	blue
2020-07-07	mod_4_up	15305953	blue
2020-07-08	mod_3	4053785	red
2020-07-08	mod_2	1868900	green
2020-07-08	mod_4	1089849	blue
2020-07-08	mod_4_up	15411978	blue
2020-07-09	mod_3	4077446	red
2020-07-09	mod_2	1888130	green
2020-07-09	mod_4	1109850	blue
2020-07-09	mod_4_up	15512485	blue
2020-07-10	mod_3	4100666	red
2020-07-10	mod_2	1907057	green
2020-07-10	mod_4	1129591	blue
2020-07-10	mod_4_up	15597986	blue
2020-07-11	mod_3	4123405	red
2020-07-11	mod_2	1925736	green
2020-07-11	mod_4	1149075	blue
2020-07-11	mod_4_up	15684126	blue
2020-07-12	mod_3	4145628	red
2020-07-12	mod_2	1944132	green
2020-07-12	mod_4	1168299	blue
2020-07-12	mod_4_up	15752800	blue
2020-07-13	mod_3	4167426	red
2020-07-13	mod_2	1962247	green
2020-07-13	mod_4	1187261	blue
2020-07-13	mod_4_up	15822406	blue
2020-07-14	mod_3	4188720	red
2020-07-14	mod_2	1980139	green
2020-07-14	mod_4	1205964	blue
2020-07-14	mod_4_up	15896770	blue
2020-07-15	mod_3	4209625	red
2020-07-15	mod_2	1997734	green
2020-07-15	mod_4	1224360	blue
2020-07-15	mod_4_up	15948450	blue
2020-07-16	mod_3	4230092	red
2020-07-16	mod_2	2015056	green
2020-07-16	mod_4	1242520	blue
2020-07-16	mod_4_up	16013988	blue
2020-07-17	mod_3	4250117	red
2020-07-17	mod_2	2032142	green
2020-07-17	mod_4	1260390	blue
2020-07-17	mod_4_up	16067016	blue
2020-07-18	mod_3	4269816	red
2020-07-18	mod_2	2048974	green
2020-07-18	mod_4	1278022	blue
2020-07-18	mod_4_up	16123218	blue
2020-07-19	mod_3	4289107	red
