Name,Date,State,Type,Count,date.fmt,count.fmt,text
Tripura,2020-08-25,tr,New Cases,293,Aug 25,293,Aug 25: 293 New Cases
Tripura,2020-08-26,tr,New Cases,329,Aug 26,329,Aug 26: 329 New Cases
Tripura,2020-08-27,tr,New Cases,385,Aug 27,385,Aug 27: 385 New Cases
Tripura,2020-08-28,tr,New Cases,509,Aug 28,509,Aug 28: 509 New Cases
Tripura,2020-08-29,tr,New Cases,443,Aug 29,443,Aug 29: 443 New Cases
Tripura,2020-08-30,tr,New Cases,447,Aug 30,447,Aug 30: 447 New Cases
Tripura,2020-08-31,tr,New Cases,321,Aug 31,321,Aug 31: 321 New Cases
Tripura,2020-09-01,tr,New Cases,509,Sep  1,509,Sep  1: 509 New Cases
Tripura,2020-09-02,tr,New Cases,566,Sep  2,566,Sep  2: 566 New Cases
Tripura,2020-09-03,tr,New Cases,590,Sep  3,590,Sep  3: 590 New Cases
Tripura,2020-09-04,tr,New Cases,524,Sep  4,524,Sep  4: 524 New Cases
Tripura,2020-09-05,tr,New Cases,691,Sep  5,691,Sep  5: 691 New Cases
Tripura,2020-09-06,tr,New Cases,603,Sep  6,603,Sep  6: 603 New Cases
Tripura,2020-09-07,tr,New Cases,399,Sep  7,399,Sep  7: 399 New Cases
Tripura,2020-09-08,tr,New Cases,628,Sep  8,628,Sep  8: 628 New Cases
Tripura,2020-09-09,tr,New Cases,582,Sep  9,582,Sep  9: 582 New Cases
Tripura,2020-09-10,tr,New Cases,535,Sep 10,535,Sep 10: 535 New Cases
Tripura,2020-09-11,tr,New Cases,559,Sep 11,559,Sep 11: 559 New Cases
Tripura,2020-09-12,tr,New Cases,470,Sep 12,470,Sep 12: 470 New Cases
Tripura,2020-09-13,tr,New Cases,629,Sep 13,629,Sep 13: 629 New Cases
Tripura,2020-09-14,tr,New Cases,255,Sep 14,255,Sep 14: 255 New Cases
Tripura,2020-09-15,tr,New Cases,531,Sep 15,531,Sep 15: 531 New Cases
Tripura,2020-09-16,tr,New Cases,454,Sep 16,454,Sep 16: 454 New Cases
Tripura,2020-09-17,tr,New Cases,527,Sep 17,527,Sep 17: 527 New Cases
Tripura,2020-09-18,tr,New Cases,273,Sep 18,273,Sep 18: 273 New Cases
Tripura,2020-09-19,tr,New Cases,535,Sep 19,535,Sep 19: 535 New Cases
Tripura,2020-09-20,tr,New Cases,525,Sep 20,525,Sep 20: 525 New Cases
Tripura,2020-09-21,tr,New Cases,243,Sep 21,243,Sep 21: 243 New Cases
Tripura,2020-09-22,tr,New Cases,559,Sep 22,559,Sep 22: 559 New Cases
Tripura,2020-09-23,tr,New Cases,504,Sep 23,504,Sep 23: 504 New Cases
Tripura,2020-09-24,tr,New Cases,451,Sep 24,451,Sep 24: 451 New Cases
Tripura,2020-09-25,tr,New Cases,341,Sep 25,341,Sep 25: 341 New Cases
Tripura,2020-09-26,tr,New Cases,278,Sep 26,278,Sep 26: 278 New Cases
Tripura,2020-09-27,tr,New Cases,320,Sep 27,320,Sep 27: 320 New Cases
Tripura,2020-09-28,tr,New Cases,193,Sep 28,193,Sep 28: 193 New Cases
Tripura,2020-09-29,tr,New Cases,432,Sep 29,432,Sep 29: 432 New Cases
Tripura,2020-09-30,tr,New Cases,381,Sep 30,381,Sep 30: 381 New Cases
Tripura,2020-10-01,tr,New Cases,332,Oct  1,332,Oct  1: 332 New Cases
Tripura,2020-10-02,tr,New Cases,296,Oct  2,296,Oct  2: 296 New Cases
Tripura,2020-10-03,tr,New Cases,190,Oct  3,190,Oct  3: 190 New Cases
Tripura,2020-10-04,tr,New Cases,322,Oct  4,322,Oct  4: 322 New Cases
Tripura,2020-10-05,tr,New Cases,159,Oct  5,159,Oct  5: 159 New Cases
Tripura,2020-10-06,tr,New Cases,275,Oct  6,275,Oct  6: 275 New Cases
Tripura,2020-10-07,tr,New Cases,237,Oct  7,237,Oct  7: 237 New Cases
Tripura,2020-10-08,tr,New Cases,214,Oct  8,214,Oct  8: 214 New Cases
Tripura,2020-10-09,tr,New Cases,223,Oct  9,223,Oct  9: 223 New Cases
Tripura,2020-10-10,tr,New Cases,171,Oct 10,171,Oct 10: 171 New Cases
Tripura,2020-10-11,tr,New Cases,199,Oct 11,199,Oct 11: 199 New Cases
Tripura,2020-10-12,tr,New Cases,109,Oct 12,109,Oct 12: 109 New Cases
Tripura,2020-10-13,tr,New Cases,217,Oct 13,217,Oct 13: 217 New Cases
Tripura,2020-10-14,tr,New Cases,181,Oct 14,181,Oct 14: 181 New Cases
Tripura,2020-10-15,tr,New Cases,172,Oct 15,172,Oct 15: 172 New Cases
Tripura,2020-10-16,tr,New Cases,162,Oct 16,162,Oct 16: 162 New Cases
Tripura,2020-10-17,tr,New Cases,134,Oct 17,134,Oct 17: 134 New Cases
Tripura,2020-10-18,tr,New Cases,141,Oct 18,141,Oct 18: 141 New Cases
Tripura,2020-10-19,tr,New Cases,85,Oct 19,85,Oct 19: 85 New Cases
Tripura,2020-10-20,tr,New Cases,135,Oct 20,135,Oct 20: 135 New Cases
Tripura,2020-10-21,tr,New Cases,112,Oct 21,112,Oct 21: 112 New Cases
Tripura,2020-10-22,tr,New Cases,125,Oct 22,125,Oct 22: 125 New Cases
Tripura,2020-10-23,tr,New Cases,145,Oct 23,145,Oct 23: 145 New Cases
Tripura,2020-10-24,tr,New Cases,65,Oct 24,65,Oct 24: 65 New Cases
Tripura,2020-10-25,tr,New Cases,86,Oct 25,86,Oct 25: 86 New Cases
Tripura,2020-10-26,tr,New Cases,36,Oct 26,36,Oct 26: 36 New Cases
Tripura,2020-10-27,tr,New Cases,36,Oct 27,36,Oct 27: 36 New Cases
Tripura,2020-10-28,tr,New Cases,160,Oct 28,160,Oct 28: 160 New Cases
Tripura,2020-10-29,tr,New Cases,113,Oct 29,113,Oct 29: 113 New Cases
Tripura,2020-10-30,tr,New Cases,97,Oct 30,97,Oct 30: 97 New Cases
Tripura,2020-10-31,tr,New Cases,54,Oct 31,54,Oct 31: 54 New Cases
Tripura,2020-11-01,tr,New Cases,77,Nov  1,77,Nov  1: 77 New Cases
Tripura,2020-11-02,tr,New Cases,58,Nov  2,58,Nov  2: 58 New Cases
Tripura,2020-11-03,tr,New Cases,137,Nov  3,137,Nov  3: 137 New Cases
Tripura,2020-11-04,tr,New Cases,116,Nov  4,116,Nov  4: 116 New Cases
Tripura,2020-11-05,tr,New Cases,132,Nov  5,132,Nov  5: 132 New Cases
Tripura,2020-11-06,tr,New Cases,110,Nov  6,110,Nov  6: 110 New Cases
Tripura,2020-11-07,tr,New Cases,87,Nov  7,87,Nov  7: 87 New Cases
Tripura,2020-11-08,tr,New Cases,83,Nov  8,83,Nov  8: 83 New Cases
Tripura,2020-11-09,tr,New Cases,26,Nov  9,26,Nov  9: 26 New Cases
Tripura,2020-11-10,tr,New Cases,79,Nov 10,79,Nov 10: 79 New Cases
Tripura,2020-11-11,tr,New Cases,84,Nov 11,84,Nov 11: 84 New Cases
Tripura,2020-11-12,tr,New Cases,59,Nov 12,59,Nov 12: 59 New Cases
Tripura,2020-11-13,tr,New Cases,76,Nov 13,76,Nov 13: 76 New Cases
Tripura,2020-11-14,tr,New Cases,78,Nov 14,78,Nov 14: 78 New Cases
Tripura,2020-11-15,tr,New Cases,26,Nov 15,26,Nov 15: 26 New Cases
Tripura,2020-11-16,tr,New Cases,17,Nov 16,17,Nov 16: 17 New Cases
Tripura,2020-11-17,tr,New Cases,77,Nov 17,77,Nov 17: 77 New Cases
Tripura,2020-11-18,tr,New Cases,73,Nov 18,73,Nov 18: 73 New Cases
Tripura,2020-11-19,tr,New Cases,105,Nov 19,105,Nov 19: 105 New Cases
Tripura,2020-11-20,tr,New Cases,75,Nov 20,75,Nov 20: 75 New Cases
Tripura,2020-11-21,tr,New Cases,75,Nov 21,75,Nov 21: 75 New Cases
Tripura,2020-11-22,tr,New Cases,48,Nov 22,48,Nov 22: 48 New Cases
Tripura,2020-11-23,tr,New Cases,19,Nov 23,19,Nov 23: 19 New Cases
Tripura,2020-11-24,tr,New Cases,59,Nov 24,59,Nov 24: 59 New Cases
Tripura,2020-11-25,tr,New Cases,35,Nov 25,35,Nov 25: 35 New Cases
Tripura,2020-11-26,tr,New Cases,50,Nov 26,50,Nov 26: 50 New Cases
Tripura,2020-11-27,tr,New Cases,32,Nov 27,32,Nov 27: 32 New Cases
Tripura,2020-11-28,tr,New Cases,31,Nov 28,31,Nov 28: 31 New Cases
Tripura,2020-11-29,tr,New Cases,0,Nov 29,0,Nov 29: 0 New Cases
Tripura,2020-11-30,tr,New Cases,54,Nov 30,54,Nov 30: 54 New Cases
Tripura,2020-12-01,tr,New Cases,31,Dec  1,31,Dec  1: 31 New Cases
Tripura,2020-12-02,tr,New Cases,38,Dec  2,38,Dec  2: 38 New Cases
Tripura,2020-12-03,tr,New Cases,39,Dec  3,39,Dec  3: 39 New Cases
Tripura,2020-12-04,tr,New Cases,33,Dec  4,33,Dec  4: 33 New Cases
